iter	Passed	Remaining
0	148	148419
1	151	75521
2	155	51527
3	160	39939
4	162	32302
5	164	27173
6	165	23458
7	166	20689
8	168	18582
9	170	16856
10	171	15418
11	172	14220
12	173	13196
13	174	12319
14	175	11551
15	177	10900
16	178	10340
17	179	9813
18	180	9334
19	182	8923
20	183	8551
21	184	8213
22	186	7911
23	187	7612
24	188	7339
25	189	7090
26	190	6856
27	191	6634
28	192	6429
29	192	6235
30	193	6061
31	194	5892
32	195	5738
33	196	5594
34	197	5452
35	198	5319
36	199	5199
37	200	5082
38	201	4975
39	203	4890
40	205	4801
41	206	4705
42	207	4609
43	208	4520
44	208	4434
45	210	4360
46	211	4284
47	212	4210
48	213	4142
49	214	4072
50	215	4004
51	216	3950
52	218	3896
53	219	3837
54	220	3782
55	221	3730
56	222	3688
57	224	3652
58	226	3606
59	227	3559
60	228	3514
61	229	3469
62	230	3426
63	231	3388
64	232	3346
65	233	3305
66	234	3267
67	235	3229
68	236	3191
69	238	3167
70	239	3135
71	240	3102
72	241	3068
73	242	3035
74	243	3004
75	245	2988
76	246	2959
77	247	2929
78	248	2900
79	249	2873
80	250	2846
81	252	2822
82	252	2791
83	253	2767
84	254	2744
85	255	2720
86	257	2697
87	258	2674
88	259	2652
89	260	2630
90	261	2608
91	262	2588
92	263	2567
93	264	2545
94	265	2524
95	266	2507
96	267	2492
97	268	2474
98	269	2455
99	270	2438
100	271	2420
101	272	2403
102	273	2385
103	274	2368
104	275	2351
105	276	2335
106	277	2318
107	278	2302
108	279	2286
109	280	2273
110	282	2262
111	283	2247
112	284	2234
113	285	2220
114	286	2206
115	287	2193
116	288	2179
117	289	2166
118	290	2153
119	291	2140
120	292	2127
121	293	2113
122	294	2102
123	296	2093
124	297	2081
125	298	2070
126	299	2058
127	300	2050
128	302	2040
129	303	2029
130	304	2019
131	305	2009
132	306	1998
133	307	1988
134	308	1978
135	309	1968
136	310	1958
137	312	1948
138	313	1939
139	316	1941
140	317	1931
141	317	1920
142	318	1910
143	319	1901
144	320	1891
145	321	1882
146	323	1874
147	324	1870
148	326	1863
149	327	1854
150	328	1847
151	330	1844
152	332	1837
153	333	1829
154	334	1820
155	335	1812
156	336	1804
157	337	1796
158	339	1794
159	340	1787
160	341	1777
161	342	1769
162	343	1762
163	344	1755
164	345	1748
165	346	1741
166	347	1733
167	348	1727
168	349	1720
169	350	1713
170	352	1708
171	354	1705
172	355	1699
173	356	1692
174	357	1685
175	358	1679
176	360	1674
177	361	1669
178	362	1662
179	363	1655
180	364	1648
181	365	1642
182	366	1636
183	367	1631
184	369	1626
185	370	1619
186	371	1613
187	372	1607
188	373	1602
